date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-11-05,0,0,0,1,0,0,0,1,,,,,341,9
2019-12-06,0,0,0,1,0,0,0,1,,,,,348,9
2020-01-06,0,0,0,1,0,0,0,1,,,,,363,10
2020-02-04,0,0,0,1,0,0,0,1,,,,0.00%,342,8
2020-03-04,0,0,0,1,0,0,0,1,,,,59.38%,354,9
2020-04-03,0,0,0,1,0,0,0,1,,,,59.38%,354,9
